Category,Company,LinkedinURL,CareerURL
Tech Giants,Google,https://www.linkedin.com/jobs/search/?f_C=1441%2C16140%2C17876832%2C89982912%2C791962&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=4250802082%2C4257001002%2C4259195508%2C4259194590%2C4253759786%2C4259195494%2C4259198079%2C4259500010%2C4259500028&lipi=urn%3Ali%3Apage%3Ad_flagship3_company%3BCAs3M9G%2BQySFU4m%2FVJBQOQ%3D%3D,https://careers.google.com/jobs/results/?q={position}&location={location}
Tech Giants,Microsoft,https://www.linkedin.com/jobs/search/?f_C=1035%2C1418841%2C165397%2C1386954%2C3763403%2C3290211%2C10073178%2C3238203%2C2270931%2C3641570%2C263515%2C1148098%2C5097047%2C589037%2C3178875%2C692068%2C18086638%2C19537%2C19053704%2C1889423%2C30203%2C5607466%2C11206713%2C2446424&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=4260829940%2C4258792265%2C4146803821%2C4258791769%2C4253293955%2C4259017617%2C4253625323%2C4260009720%2C4257899699&lipi=urn%3Ali%3Apage%3Ad_flagship3_company%3B4h0q%2BVr2QSe8zbDEIwFutg%3D%3D,https://jobs.careers.microsoft.com/global/en/search?q={position}&l={location}
Tech Giants,Meta,https://www.linkedin.com/jobs/search/?f_C=10667%2C2289109%2C23769%2C27104390%2C2763277%2C76987811%2C289891%2C27046884%2C16159097&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=4245426430%2C4254369805%2C4256219211%2C4254368756%2C4210208139%2C4254817350%2C4232506278%2C4257174293%2C4205649462&lipi=urn%3Ali%3Apage%3Ad_flagship3_company%3BEYj5oxK%2BRVyZU8pEhK5TQw%3D%3D,https://www.metacareers.com/jobs?query={position}&location={location}
Tech Giants,Apple,,https://jobs.apple.com/en-us/search?location={location}&search={position}
Tech Giants,Amazon,https://www.linkedin.com/jobs/search/?f_C=1586%2C2382910%2C12227%2C167364%2C34924%2C1379932%2C2320329%2C47157%2C80073065%2C49318%2C78392228%2C61712%2C21433%2C15218805%2C208137%2C111446%2C16551%2C46825%2C860467%2C71099%2C14951%2C2649984%2C4787585%2C11091426%2C17411&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=4260834367%2C4230717863%2C4256826179%2C4240398972%2C4253103140%2C4228550668%2C4250760040%2C4260831851%2C4116939122&lipi=urn%3Ali%3Apage%3Ad_flagship3_company%3BrA0HoTCETS%2BHqvJXPOerlA%3D%3D,https://www.amazon.jobs/en/search?base_query={position}&location={location}
