job_id,company,title,url,description,posted
1,Line Plus Corporation,Senior AI Engineer,,"Devised a video moderation model based on VLM (InternVL3), improving moderation accuracy by X\% and reducing costs by 80\% (in progress). Developed and deployed end-to-end computer vision models (AuraFace) for celebrity recognition in short-form videos, enhancing recommendation systems. (python, docker, airflow, git) Optimized video search retrieval for multilingual text queries by combining Qwen2.5-VL and llama-based embeddings with VideoCLIP(v3) embeddings, improving top 5 search accuracy by 40\%. Integrating celebrity recognition models, added celebrity search features to video search without explicit tagging.",
2,University of Houston,Ph.D. Researcher,https://www.uh.edu,"Analyzed user click behaviors on e-commerce websites (Amazon and Taobao) with encoder-only Transformer. Enhanced explanations of inter-category product relationships and search prediction accuracy by 20\%. Applied the same model to predict user retweet patterns (likelihood increased by 60\%). (python, hpc) Enhanced spatiotemporal terrorism prediction using an extended RNN \& Transformer framework, reducing computational time by 10x (working paper). Boosted protein property prediction accuracy by 20\% via BERT-based transfer learning. Improved heavy-tailed rainfall prediction accuracy by 60\% using neural networks. Leveraged explainable AI techniques (SHAP, LIME) to interpret ML models.",
3,Seoul National University,Research Assistant,https://english.snu.ac.kr,"Proposed an estimation method for nonlinear regression with theoretical backgrounds and accomplished 65\% (with time series) and 41\% (with spatial data) improvements in RMSE, resulting in 3 publications. Applied semi-parametric quantile regression to model ion concentration distributions in groundwater, creating a nationwide water contamination map for South Korea, resulting in 2 publications.",
4,Seoul National University,Ph.D. Candidate,https://english.snu.ac.kr,"Ph.D., Statistics (3.96)",
